"BFS_NUMMER","Total number of pictures by municipality","Total number of picture' views by municipality","Average number of picture' views by municipality","Total number of favorited pictures by municipality","Average number of favorited pictures by municipality","Habitants","Densité de la population par km²","total number of favorited / total number of pics by municipality","total number of views / total number of pics by municipality","Total pictures by capita & by municipality","Total picture views by capita & by municipality","Average #views by capita and by municipality","Total favorited pictures by capita & by municipality","Average favorited pictures by capita & by municipality"
312,58,1250,21.551724137931,12,0.206896551724138,2968,142,0.206896551724138,21.551724137931,0.0195417789757412,0.421159029649596,0.00726136258016544,0.00404312668463612,6.97090807695882e-05
324,157,91703,584.095541401274,2276,14.4968152866242,661,116,14.4968152866242,584.095541401274,0.237518910741301,138.733736762481,0.883654374283319,3.44326777609682,0.021931641885967
329,1,94,94,0,0,15291,886,0,94,6.53979465044798e-05,0.0061474069714211,0.0061474069714211,0,0
333,5,1636,327.2,73,14.6,1525,148,14.6,327.2,0.00327868852459016,1.0727868852459,0.21455737704918,0.0478688524590164,0.00957377049180328
351,1126,369220,327.904085257549,3231,2.86944937833037,128848,2496,2.86944937833037,327.904085257549,0.00873897926238669,2.8655470011176,0.00254489076475808,0.0250760586116975,2.2270034291028e-05
352,7,36,5.14285714285714,0,0,6078,367,0,5.14285714285714,0.00115169463639355,0.00592300098716683,0.00084614299816669,0,0
354,5,133,26.6,4,0.8,2887,242,0.8,26.6,0.00173190162798753,0.0460685833044683,0.00921371666089366,0.00138552130239002,0.000277104260478005
355,32,21415,669.21875,611,19.09375,39794,780,19.09375,669.21875,0.000804141327838368,0.538146454239333,0.0168170766949791,0.0153540734784138,0.000479814796200432
356,2,53,26.5,0,0,12901,1691,0,26.5,0.000155026742113014,0.00410820866599488,0.00205410433299744,0,0
359,2,30,15,0,0,4991,201,0,15,0.000400721298337007,0.0060108194750551,0.00300540973752755,0,0
360,23,6310,274.347826086957,590,25.6521739130435,8948,247,25.6521739130435,274.347826086957,0.00257040679481448,0.705185516316495,0.0306602398398476,0.0659365221278498,0.00286680530990651
361,7,290,41.4285714285714,8,1.14285714285714,10041,1863,1.14285714285714,41.4285714285714,0.000697141718952296,0.0288815854994522,0.00412594078563604,0.000796733393088338,0.000113819056155477
362,15,11646,776.4,164,10.9333333333333,11067,2629,10.9333333333333,776.4,0.00135538086202223,1.05231770127406,0.0701545134182705,0.0148188307581097,0.000987922050540646
371,26,14595,561.346153846154,413,15.8846153846154,53031,2498,15.8846153846154,561.346153846154,0.0004902792706153,0.275216382870397,0.0105852454950153,0.00778789764477381,0.000299534524798993
382,1,40,40,1,1,775,215,1,40,0.00129032258064516,0.0516129032258065,0.0516129032258065,0.00129032258064516,0.00129032258064516
383,1,53,53,0,0,3444,273,0,53,0.000290360046457607,0.0153890824622532,0.0153890824622532,0,0
386,1,8589,8589,92,92,1408,334,92,8589,0.000710227272727273,6.10014204545455,6.10014204545455,0.0653409090909091,0.0653409090909091
388,1,10810,10810,416,416,1208,117,416,10810,0.000827814569536424,8.94867549668874,8.94867549668874,0.344370860927152,0.344370860927152
392,3,291,97,0,0,3917,471,0,97,0.000765892264488129,0.0742915496553485,0.0247638498851162,0,0
403,1,955,955,19,19,1026,376,19,955,0.000974658869395711,0.930799220272905,0.930799220272905,0.0185185185185185,0.0185185185185185
404,119,157818,1326.20168067227,1203,10.109243697479,15907,1020,10.109243697479,1326.20168067227,0.00748098321493682,9.92129251273025,0.0833722059893298,0.0756270824165462,0.00063552170097938
409,2,1469,734.5,47,23.5,2304,342,23.5,734.5,0.000868055555555556,0.637586805555556,0.318793402777778,0.0203993055555556,0.0101996527777778
412,1,28,28,0,0,5786,640,0,28,0.000172830971310059,0.00483926719668165,0.00483926719668165,0,0
414,3,2219,739.666666666667,51,17,2289,118,17,739.666666666667,0.00131061598951507,0.969418960244648,0.323139653414883,0.0222804718217562,0.00742682394058541
418,51,11337,222.294117647059,7,0.137254901960784,2937,208,0.137254901960784,222.294117647059,0.017364657814096,3.86006128702758,0.075687476216227,0.00238338440585632,4.67330275658101e-05
431,2,535,267.5,43,21.5,1621,92,21.5,267.5,0.00123380629241209,0.330043183220234,0.165021591610117,0.02652683528686,0.01326341764343
432,1,258,258,2,2,481,36,2,258,0.00207900207900208,0.536382536382536,0.536382536382536,0.00415800415800416,0.00415800415800416
436,1,34,34,1,1,485,60,1,34,0.00206185567010309,0.0701030927835052,0.0701030927835052,0.00206185567010309,0.00206185567010309
439,1,71,71,4,4,1359,87,4,71,0.000735835172921266,0.0522442972774099,0.0522442972774099,0.00294334069168506,0.00294334069168506
442,3,57,19,4,1.33333333333333,195,28,1.33333333333333,19,0.0153846153846154,0.292307692307692,0.0974358974358974,0.0205128205128205,0.00683760683760684
443,6,929,154.833333333333,6,1,4949,237,1,154.833333333333,0.00121236613457264,0.187714689836331,0.0312857816393884,0.00121236613457264,0.000202061022428773
448,2,203,101.5,0,0,923,57,0,101.5,0.00216684723726977,0.219934994582882,0.109967497291441,0,0
494,1,54,54,0,0,731,93,0,54,0.00136798905608755,0.0738714090287278,0.0738714090287278,0,0
496,39,28311,725.923076923077,401,10.2820512820513,3345,140,10.2820512820513,725.923076923077,0.0116591928251121,8.46367713004484,0.217017362308842,0.119880418535127,0.00307385688551608
539,25,1498,59.92,0,0,NA,NA,0,59.92,NA,NA,NA,NA,NA
540,5,1299,259.8,108,21.6,5466,405,21.6,259.8,0.000914745700695207,0.237650933040615,0.0475301866081229,0.0197585071350165,0.00395170142700329
544,6,3757,626.166666666667,34,5.66666666666667,3763,593,5.66666666666667,626.166666666667,0.00159447249534946,0.998405527504651,0.166400921250775,0.00903534414031358,0.00150589069005226
546,11,1810,164.545454545455,135,12.2727272727273,9852,1117,12.2727272727273,164.545454545455,0.0011165245635404,0.18371904181892,0.0167017310744473,0.0137028014616322,0.00124570922378474
553,1,245,245,13,13,96,67,13,245,0.0104166666666667,2.55208333333333,2.55208333333333,0.135416666666667,0.135416666666667
555,4,8,2,0,0,NA,NA,0,2,NA,NA,NA,NA,NA
561,35,8597,245.628571428571,29,0.828571428571429,3472,39,0.828571428571429,245.628571428571,0.0100806451612903,2.47609447004608,0.0707455562870309,0.00835253456221198,0.000238643844634628
562,3,57,19,0,0,2166,70,0,19,0.00138504155124654,0.0263157894736842,0.0087719298245614,0,0
563,13,2144,164.923076923077,95,7.30769230769231,6727,94,7.30769230769231,164.923076923077,0.00193251077746395,0.318715623606362,0.0245165864312587,0.0141221941430058,0.00108632262638506
564,24,1883,78.4583333333333,4,0.166666666666667,777,24,0.166666666666667,78.4583333333333,0.0308880308880309,2.42342342342342,0.100975975975976,0.00514800514800515,0.000214500214500214
565,59,4547,77.0677966101695,190,3.22033898305085,1271,9,3.22033898305085,77.0677966101695,0.046420141620771,3.57749803304485,0.060635559882116,0.14948859166011,0.0025337049433917
566,7,74,10.5714285714286,0,0,1077,179,0,10.5714285714286,0.00649953574744661,0.0687093779015785,0.00981562541451121,0,0
567,6,4364,727.333333333333,179,29.8333333333333,3507,28,29.8333333333333,727.333333333333,0.00171086398631309,1.24436840604505,0.207394734340842,0.0510407755916738,0.00850679593194563
571,6,6183,1030.5,400,66.6666666666667,1150,39,66.6666666666667,1030.5,0.00521739130434783,5.37652173913043,0.896086956521739,0.347826086956522,0.0579710144927536
572,1,1167,1167,5,5,2520,167,5,1167,0.000396825396825397,0.463095238095238,0.463095238095238,0.00198412698412698,0.00198412698412698
573,10,9286,928.6,262,26.2,2998,62,26.2,928.6,0.00333555703802535,3.09739826551034,0.309739826551034,0.0873915943962642,0.00873915943962642
576,266,90161,338.951127819549,3827,14.3872180451128,3768,22,14.3872180451128,338.951127819549,0.0705944798301486,23.9280785562633,0.0899551825423431,1.01565817409766,0.00381826381239724
580,1,524,524,25,25,533,61,25,524,0.00187617260787992,0.983114446529081,0.983114446529081,0.0469043151969981,0.0469043151969981
581,56,44424,793.285714285714,728,13,5659,1316,13,793.285714285714,0.00989574129704895,7.85015020321612,0.140181253628859,0.128644636861636,0.00229722565824351
582,29,416,14.3448275862069,0,0,426,19,0,14.3448275862069,0.068075117370892,0.976525821596244,0.0336733041929739,0,0
584,414,198941,480.533816425121,4844,11.7004830917874,2439,15,11.7004830917874,480.533816425121,0.169741697416974,81.5666256662567,0.197020834942649,1.98605986059861,0.00479724604009325
587,2,1101,550.5,2,1,3728,632,1,550.5,0.000536480686695279,0.295332618025751,0.147666309012876,0.000536480686695279,0.000268240343347639
588,3,446,148.666666666667,3,1,340,79,1,148.666666666667,0.00882352941176471,1.31176470588235,0.437254901960784,0.00882352941176471,0.00294117647058824
589,2,89,44.5,0,0,463,23,0,44.5,0.00431965442764579,0.192224622030238,0.0961123110151188,0,0
590,1,753,753,29,29,2642,302,29,753,0.000378501135503407,0.285011355034065,0.285011355034065,0.0109765329295988,0.0109765329295988
592,1,710,710,112,112,582,83,112,710,0.00171821305841924,1.21993127147766,1.21993127147766,0.192439862542955,0.192439862542955
593,34,5377,158.147058823529,201,5.91176470588235,5646,402,5.91176470588235,158.147058823529,0.00602196245129295,0.952355650017712,0.0280104602946386,0.0356004250797024,0.0010470713258736
594,11,1165,105.909090909091,16,1.45454545454545,2549,188,1.45454545454545,105.909090909091,0.00431541781090624,0.457041977245979,0.0415492706587253,0.00627697136131816,0.000570633760119833
611,2,2932,1466,207,103.5,900,192,103.5,1466,0.00222222222222222,3.25777777777778,1.62888888888889,0.23,0.115
612,2,128,64,0,0,4929,385,0,64,0.000405761817812944,0.0259687563400284,0.0129843781700142,0,0
617,1,885,885,17,17,611,113,17,885,0.0016366612111293,1.44844517184943,1.44844517184943,0.027823240589198,0.027823240589198
623,6,180,30,1,0.166666666666667,2906,419,0.166666666666667,30,0.00206469373709566,0.0619408121128699,0.0103234686854783,0.000344115622849277,5.73526038082129e-05
627,10,362,36.2,0,0,11370,539,0,36.2,0.000879507475813544,0.0318381706244503,0.00318381706244503,0,0
630,1,30,30,1,1,542,143,1,30,0.0018450184501845,0.0553505535055351,0.0553505535055351,0.0018450184501845,0.0018450184501845
632,1,806,806,13,13,4072,351,13,806,0.000245579567779961,0.197937131630648,0.197937131630648,0.00319253438113949,0.00319253438113949
670,3,33,11,0,0,4881,223,0,11,0.000614628149969269,0.00676090964966195,0.00225363654988732,0,0
706,2,62,31,0,0,609,44,0,31,0.00328407224958949,0.101806239737274,0.0509031198686371,0,0
710,4,130,32.5,0,0,139,25,0,32.5,0.0287769784172662,0.935251798561151,0.233812949640288,0,0
713,1,31,31,0,0,3563,241,0,31,0.000280662363177098,0.00870053325849004,0.00870053325849004,0,0
724,9,4479,497.666666666667,150,16.6666666666667,738,28,16.6666666666667,497.666666666667,0.0121951219512195,6.06910569105691,0.674345076784101,0.203252032520325,0.022583559168925
733,4,170,42.5,0,0,4251,852,0,42.5,0.000940955069395436,0.039990590449306,0.00999764761232651,0,0
739,3,31436,10478.6666666667,681,227,4032,2111,227,10478.6666666667,0.000744047619047619,7.79662698412698,2.59887566137566,0.16889880952381,0.0562996031746032
740,2,557,278.5,36,18,539,299,18,278.5,0.00371057513914657,1.03339517625232,0.51669758812616,0.0667903525046382,0.0333951762523191
743,1,1741,1741,113,113,6766,4451,113,1741,0.000147797812592374,0.257315991723322,0.257315991723322,0.0167011528229382,0.0167011528229382
749,3,49,16.3333333333333,0,0,2958,1088,0,16.3333333333333,0.00101419878296146,0.0165652467883705,0.00552174892945684,0,0
756,5,357,71.4,4,0.8,1113,89,0.8,71.4,0.00449236298292902,0.320754716981132,0.0641509433962264,0.00359389038634322,0.000718778077268643
762,2,44,22,0,0,2154,17,0,22,0.000928505106778087,0.0204271123491179,0.010213556174559,0,0
763,54,173,3.2037037037037,0,0,1664,45,0,3.2037037037037,0.0324519230769231,0.103966346153846,0.00192530270655271,0,0
766,1,61,61,2,2,813,18,2,61,0.001230012300123,0.0750307503075031,0.0750307503075031,0.002460024600246,0.002460024600246
768,26,5923,227.807692307692,403,15.5,12577,754,15.5,227.807692307692,0.00206726564363521,0.470939015663513,0.0181130390639813,0.0320426174763457,0.00123240836447484
